Я очень разочарован в полученной услуге.; Negative
Этот продукт не оправдал моих ожиданий.; Negative
У меня был ужасный опыт в ресторане.; Negative
Фильм был скучным и пустой тратой времени.; Negative
Я чувствую себя расстроенным из-за текущей ситуации.; Negative
Служба поддержки была бесполезной и грубой.; Negative
Я не стал бы рекомендовать это никому.; Negative
Эта книга была полным разочарованием.; Negative
Погода сегодня ужасная.; Negative
Я недоволен своей покупкой.; Negative
Номер в отеле был грязным и неубранным.; Negative
Я чувствую стресс из-за своей работы.; Negative
Концерт был огромным разочарованием.; Negative
Я сожалею о покупке этого продукта.; Negative
Обслуживание было медленным и неэффективным.; Negative
Меня не впечатлило качество еды.; Negative
Приложение постоянно вылетает на моем телефоне.; Negative
Я чувствую себя обманутым из-за отсутствия коммуникации.; Negative
Мероприятие было плохо организовано.; Negative
Я расстроен постоянными задержками.; Negative
Фильм имел запутанный сюжет.; Negative
Мне совсем не понравилась эта книга.; Negative
Персонал был грубым и пренебрежительным.; Negative
Я чувствую себя перегруженным объемом работы.; Negative
Продукт сломался после первого использования.; Negative
Я был разочарован отсутствием выбора.; Negative
Этот опыт не стоил своих денег.; Negative
Я чувствую, что мои проблемы игнорируют.; Negative
Качество обслуживания ухудшилось.; Negative
У меня был плохой опыт с доставкой.; Negative
Еда была холодной и безвкусной.; Negative
Я чувствую себя несчастным из-за своей текущей ситуации.; Negative
Презентация была скучной и неинформативной.; Negative
Мне не понравился новый дизайн сайта.; Negative
Служба поддержки была неотзывчивой.; Negative
Я чувствую себя расстроенным из-за отсутствия прогресса.; Negative
Фильм был слишком длинным и затянутым.; Negative
Я не был удовлетворен своей едой.; Negative
Продукт не работал так, как было заявлено.; Negative
Я чувствую разочарование от результата.; Negative
Мероприятие было пустой тратой времени.; Negative
У меня был негативный опыт с персоналом.; Negative
Обслуживание не соответствовало стандартам.; Negative
Я чувствую себя обманутым из-за качества продукта.; Negative
Отель был шумным и неудобным.; Negative
Я был недоволен тем, как меня обслужили.; Negative
Приложение трудно использовать.; Negative
Я чувствую себя расстроенным из-за отсутствия поддержки.; Negative
Еда была слишком дорогой для того, что она была.; Negative
Мне не понравилось мое пребывание в отеле.; Negative
Концерт был плохо организован.; Negative
Я чувствую себя перегруженным ожиданиями.; Negative
Продукт оказался полным провалом.; Negative
Я был разочарован отсутствием разнообразия.; Negative
Обслуживание было непрофессиональным.; Negative
Я чувствую себя расстроенным из-за постоянных изменений.; Negative
Фильм не был развлекательным.; Negative
У меня был плохой опыт с обслуживанием клиентов.; Negative
Еда была безвкусной и неаппетитной.; Negative
Я чувствую себя расстроенным из-за медленного времени ответа.; Negative
Мероприятие не оправдало ожиданий.; Negative
Я был недоволен качеством материалов.; Negative
Персонал казался незаинтересованным и не помогал.; Negative
Я чувствую себя обманутым из-за отсутствия обратной связи.; Negative
Продукт не стоил своих денег.; Negative
У меня был негативный опыт с онлайн-заказом.; Negative
Обслуживание было непостоянным и ненадежным.; Negative
Я чувствую себя разочарованным из-за отсутствия коммуникации.; Negative
Фильм был плохо написан и сыгран.; Negative
Я не был удовлетворен обслуживанием клиентов.; Negative
Еда была не свежей и плохо приготовленной.; Negative
Я чувствую себя перегруженным объемом информации.; Negative
Отель не оправдал моих ожиданий.; Negative
У меня был разочаровывающий опыт с приложением.; Negative
Концерт не был приятным.; Negative
